mutant_id	class	path	line	oracle_a	oracle_b	oracle_c	checks_killed	target_string	manuscript_occurrences	killed_ids
constant_copied_to_prose#000	constant_copied_to_prose	paper.tex	54	0	0	0	0	\section{Introduction}	1	
constant_copied_to_prose#001	constant_copied_to_prose	paper.tex	54	0	0	0	0	\section{Introduction}	1	
constant_copied_to_prose#002	constant_copied_to_prose	paper.tex	54	0	0	0	0	\section{Introduction}	1	
constant_copied_to_prose#003	constant_copied_to_prose	paper.tex	54	0	0	0	0	\section{Introduction}	1	
constant_copied_to_prose#004	constant_copied_to_prose	paper.tex	54	0	0	0	0	\section{Introduction}	1	
constant_copied_to_prose#005	constant_copied_to_prose	paper.tex	54	0	0	0	0	\section{Introduction}	1	
constant_copied_to_prose#006	constant_copied_to_prose	paper.tex	76	0	0	0	0	\section{Conventions, data and reproducibility}	1	
constant_copied_to_prose#007	constant_copied_to_prose	paper.tex	76	0	0	0	0	\section{Conventions, data and reproducibility}	1	
constant_copied_to_prose#008	constant_copied_to_prose	paper.tex	76	0	0	0	0	\section{Conventions, data and reproducibility}	1	
constant_copied_to_prose#009	constant_copied_to_prose	paper.tex	76	0	0	0	0	\section{Conventions, data and reproducibility}	1	
constant_copied_to_prose#010	constant_copied_to_prose	paper.tex	76	0	0	0	0	\section{Conventions, data and reproducibility}	1	
constant_copied_to_prose#011	constant_copied_to_prose	paper.tex	76	0	0	0	0	\section{Conventions, data and reproducibility}	1	
constant_copied_to_prose#012	constant_copied_to_prose	paper.tex	86	0	0	0	0	\section{Distance to the binary ordering: an exact-randomness tie}	1	
constant_copied_to_prose#013	constant_copied_to_prose	paper.tex	86	0	0	0	0	\section{Distance to the binary ordering: an exact-randomness tie}	1	
constant_copied_to_prose#014	constant_copied_to_prose	paper.tex	86	0	0	0	0	\section{Distance to the binary ordering: an exact-randomness tie}	1	
constant_copied_to_prose#015	constant_copied_to_prose	paper.tex	86	0	0	0	0	\section{Distance to the binary ordering: an exact-randomness tie}	1	
constant_copied_to_prose#016	constant_copied_to_prose	paper.tex	86	0	0	0	0	\section{Distance to the binary ordering: an exact-randomness tie}	1	
constant_copied_to_prose#017	constant_copied_to_prose	paper.tex	86	0	0	0	0	\section{Distance to the binary ordering: an exact-randomness tie}	1	
constant_copied_to_prose#018	constant_copied_to_prose	paper.tex	114	0	0	0	0	\section{The kinship of the two oldest orderings, and its mechanism}	1	
constant_copied_to_prose#019	constant_copied_to_prose	paper.tex	114	0	0	0	0	\section{The kinship of the two oldest orderings, and its mechanism}	1	
constant_copied_to_prose#020	constant_copied_to_prose	paper.tex	114	0	0	0	0	\section{The kinship of the two oldest orderings, and its mechanism}	1	
constant_copied_to_prose#021	constant_copied_to_prose	paper.tex	114	0	0	0	0	\section{The kinship of the two oldest orderings, and its mechanism}	1	
constant_copied_to_prose#022	constant_copied_to_prose	paper.tex	114	0	0	0	0	\section{The kinship of the two oldest orderings, and its mechanism}	1	
constant_copied_to_prose#023	constant_copied_to_prose	paper.tex	114	0	0	0	0	\section{The kinship of the two oldest orderings, and its mechanism}	1	
