mutant_id	class	path	line	oracle_a	oracle_b	oracle_c	checks_killed	killed_ids
constant_copied_to_prose#000	constant_copied_to_prose	paper.md	27	0	0	0	0	
constant_copied_to_prose#001	constant_copied_to_prose	paper.md	27	0	0	0	0	
constant_copied_to_prose#002	constant_copied_to_prose	paper.md	27	0	0	0	0	
constant_copied_to_prose#003	constant_copied_to_prose	paper.md	27	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#004	constant_copied_to_prose	paper.md	27	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#005	constant_copied_to_prose	paper.md	27	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#006	constant_copied_to_prose	paper.md	49	0	0	0	0	
constant_copied_to_prose#007	constant_copied_to_prose	paper.md	49	0	0	0	0	
constant_copied_to_prose#008	constant_copied_to_prose	paper.md	49	0	0	0	0	
constant_copied_to_prose#009	constant_copied_to_prose	paper.md	49	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#010	constant_copied_to_prose	paper.md	49	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#011	constant_copied_to_prose	paper.md	49	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#012	constant_copied_to_prose	paper.md	69	0	0	0	0	
constant_copied_to_prose#013	constant_copied_to_prose	paper.md	69	0	0	0	0	
constant_copied_to_prose#014	constant_copied_to_prose	paper.md	69	0	0	0	0	
constant_copied_to_prose#015	constant_copied_to_prose	paper.md	69	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#016	constant_copied_to_prose	paper.md	69	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#017	constant_copied_to_prose	paper.md	69	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#018	constant_copied_to_prose	paper.md	102	0	0	0	0	
constant_copied_to_prose#019	constant_copied_to_prose	paper.md	102	0	0	0	0	
constant_copied_to_prose#020	constant_copied_to_prose	paper.md	102	0	0	0	0	
constant_copied_to_prose#021	constant_copied_to_prose	paper.md	102	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#022	constant_copied_to_prose	paper.md	102	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#023	constant_copied_to_prose	paper.md	102	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#024	constant_copied_to_prose	paper.md	118	0	0	0	0	
constant_copied_to_prose#025	constant_copied_to_prose	paper.md	118	0	0	0	0	
constant_copied_to_prose#026	constant_copied_to_prose	paper.md	118	0	0	0	0	
constant_copied_to_prose#027	constant_copied_to_prose	paper.md	118	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#028	constant_copied_to_prose	paper.md	118	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#029	constant_copied_to_prose	paper.md	118	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#030	constant_copied_to_prose	paper.md	163	0	0	0	0	
constant_copied_to_prose#031	constant_copied_to_prose	paper.md	163	0	0	0	0	
constant_copied_to_prose#032	constant_copied_to_prose	paper.md	163	0	0	0	0	
constant_copied_to_prose#033	constant_copied_to_prose	paper.md	163	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#034	constant_copied_to_prose	paper.md	163	1	0	0	1	COV-orphan-numbers
constant_copied_to_prose#035	constant_copied_to_prose	paper.md	163	1	0	0	1	COV-orphan-numbers
data_corrupted#000	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	11	CIT-agrees-a,DUAL-chi_square,DUAL-count_7,DUAL-count_8,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_7,FRZ-count_8,FRZ-p_value
data_corrupted#001	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_8,DUAL-count_9,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_8,FRZ-count_9,FRZ-p_value
data_corrupted#002	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	18	DUAL-chi_square,DUAL-count_0,DUAL-count_1,DUAL-digits,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-matches-data,FRZ-chi_square,FRZ-count_0,FRZ-count_1,FRZ-largest_count,FRZ-p_value,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z
data_corrupted#003	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_4,DUAL-count_5,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_4,FRZ-count_5,FRZ-p_value
data_corrupted#004	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	6	DUAL-count_2,DUAL-count_3,DUAL-digits,FIG-matches-data,FRZ-count_2,FRZ-count_3
data_corrupted#005	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	6	DUAL-count_2,DUAL-count_3,DUAL-digits,FIG-matches-data,FRZ-count_2,FRZ-count_3
data_corrupted#006	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	6	DUAL-count_2,DUAL-count_3,DUAL-digits,FIG-matches-data,FRZ-count_2,FRZ-count_3
data_corrupted#007	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_4,DUAL-count_5,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_4,FRZ-count_5,FRZ-p_value
data_corrupted#008	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_4,DUAL-count_5,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_4,FRZ-count_5,FRZ-p_value
data_corrupted#009	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_7,DUAL-count_8,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_7,FRZ-count_8,FRZ-p_value
data_corrupted#010	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_7,DUAL-count_8,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_7,FRZ-count_8,FRZ-p_value
data_corrupted#011	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_3,DUAL-count_4,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_3,FRZ-count_4,FRZ-p_value
data_corrupted#012	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_3,DUAL-count_4,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_3,FRZ-count_4,FRZ-p_value
